14,Morales,Wanda,9003 Gerald Hill,Honolulu,Hawaii
15,Foster,Shirley,79734 Namekagon Court,Tampa,Florida
16,Taylor,James,9 Portage Court,Winston Salem,North Carolina
17,Ross,Marilyn,0 Delaware Circle,Seattle,Washington
18,Gonzalez,Laura,310 Hauk Street,Springfield,Illinois
19,Cooper,Ruby,99 American Road,Atlanta,Georgia
20,Knight,Helen,3373 American Point,Charlotte,North Carolina
21,Bell,Jessica,06 Kenwood Hill,Lansing,Michigan
22,Sanders,Annie,8113 Sutherland Center,Everett,Washington
23,Berry,Shirley,7 Kings Pass,Cleveland,Ohio
24,King,Kevin,3499 Judy Center,Santa Monica,California
25,Clark,Kathleen,72984 Chive Hill,New York City,New York


ID - (Fixnum) a unique identifier for that Owner
Last Name - (String) the owner's last name
First Name - (String) the owner's first name
Street Addess - (String) the owner's street address
City - (String) the owner's city
State - (String) the owner's state
